Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
,,,2849,,,,
,,,,200119,,,
,,,,993,,,
,,,,,1951,,
,,,,,2227,,
,,,,,629,,
,,,,,2876,,
,,,,,2333,,
,,,,,2802,,
,,,,,2214,,
,,,,,2741,,
,,,,,400252,,
,,,,,2891,,
,,,,,2369,,
,,,,,781,,
,,,,,1987,,
,,,,,2650,,
,,,,,2717,,
,,,,,2755,,
,,,,,2467,,
,,,,,150,,
,,,,2680,,,
,,,,,2396,,
,,,,,63,,
,,,,,1893,,
,,,,,2694,,
,,,,,2364,,
,,,,,1687,,
,,,,,2677,,
,,,,,2190,,
,,,,,378,,
,,,,,2729,,
,,,,,2715,,
,,,,,2226,,
,,,,,2832,,
,,,,,27,,
,,,,,2812,,
,,,,815,,,
,,,,,2414,,
,,,,,2904,,
,,,,,2867,,
,,,,,2416,,
,,,,,2100,,
,,,,,2308,,
,,,,,2696,,
,,,,,2332,,
,,,,,2375,,
,,,,,2454,,
,,,,,1795,,
,,,,,1960,,
,,,,,2661,,
,,,,,148,,
,,,,,2791,,
,,,,,2112,,
,,,,,1896,,
,,,419,,,,
,,,,483,,,
,,,,2311,,,
,,,,2075,,,
,,,,2139,,,
,,,,1505,,,
,,,,1415,,,
,,,,544,,,
,,,,2114,,,
,,,,841,,,
,,,100044,,,,
,,,1455,,,,
,,,2083,,,,
,,,,416,,,
,,,,,1920,,
,,,,,2824,,
,,,,,2773,,
,,,,,1608,,
,,,,,562,,
,,,,,1895,,
,,,,,2456,,
,,,,,1290,,
,,,,,1891,,
,,,,,758,,
,,,,,1870,,
,,,,,2790,,
,,,,,57,,
,,,,,2870,,
,,,,,2417,,
,,,,,2788,,
,,,,,1631,,
,,,,1834,,,
,,,,,210,,
,,,,,2810,,
,,,,,2641,,
,,,,,2753,,
,,,,,766,,
,,,,,2835,,
,,,,,2859,,
,,,,,2756,,
,,,,,2801,,
,,,,,721,,
,,,,,1708,,
,,,,,2233,,
,,,,,1981,,
,,,,,2189,,
,,,,,2892,,
,,,,,2202,,
,,,,,7,,
,,,,1478,,,
,,,,,2647,,
,,,,,2897,,
,,,,,2744,,
,,,,,12,,
,,,,,2838,,
,,,,,1260,,
,,,,,2728,,
,,,,,2874,,
,,,,,2905,,
,,,,,638,,
,,,,,2770,,
,,,,,1707,,
,,,,,2458,,
,,,,,2739,,
,,,,,2670,,
